City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Kirkwood,US,76.59,broken clouds,38.5834,-90.4068,"Holiday Inn St Louis SW - Route 66, an IHG Hotel"
277,Atambua,ID,79.52,broken clouds,-9.1061,124.8925,Kost Alfa Flat
307,Sao Filipe,CV,79.92,light rain,14.8961,-24.4956,Hotel Xaguate
309,Kiunga,PG,79.11,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
312,Coahuayana,MX,76.01,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
316,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
318,Hoquiam,US,76.44,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
321,The Pas,CA,78.82,clear sky,53.8251,-101.2541,Wescana Inn
322,Itarema,BR,78.48,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
325,Vung Tau,VN,79.48,overcast clouds,10.346,107.0843,Seaside Resort
326,Banda Aceh,ID,78.84,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
331,Muscat,OM,86.65,clear sky,23.6139,58.5922,Mutrah Hotel
332,Westport,US,78.57,overcast clouds,41.1415,-73.3579,The Westport Inn
335,Cartagena,CO,82.02,thunderstorm,10.3997,-75.5144,Hotel Colombia Real - Cartagena
337,Manono,CD,77.32,clear sky,-7.3,27.4167,Hotel hewa bora
338,Akyab,MM,81.01,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
341,Awjilah,LY,79.84,clear sky,29.1081,21.2869,المنزل
342,Hamilton,US,77.85,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
347,Burla,IN,76.28,broken clouds,21.5,83.8667,Mona achariya
348,Bengkulu,ID,76.68,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
352,Falakata,IN,76.6,heavy intensity rain,26.5208,89.2055,Hotel Nandanik Palace
354,Carutapera,BR,78.94,broken clouds,-1.195,-46.02,Lidera
355,La Ronge,CA,75.45,smoke,55.1001,-105.2842,Northland Motor Hotel
360,Storm Lake,US,80.44,clear sky,42.6411,-95.2097,King's Pointe Resort
361,Clifton,US,79.43,overcast clouds,40.8584,-74.1638,Quality Urban Housing
362,Hirara,JP,84.06,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
363,Kakori,IN,80.55,mist,26.8833,80.8,Vision
365,Manavalakurichi,IN,76.28,broken clouds,8.1333,77.3,Jebinrio home
368,Guerrero Negro,MX,80.02,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
370,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
372,Puerto Madero,MX,81.86,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
376,Rock Hill,US,78.62,few clouds,34.9249,-81.0251,DDCSVC
379,Pontes E Lacerda,BR,81.32,broken clouds,-15.2261,-59.3353,Hotel Bressan
380,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
382,Raha,IN,75.52,overcast clouds,26.2333,92.5167,"Greedy, Brainless Rent House ( অহংকাৰী, প‌ইচাখকুৱা ভাড়াঘৰ)"
392,Dekalb,US,75.87,overcast clouds,33.7504,-84.2333,"America's Best Inn Georgia, GA"
397,Oregon City,US,82.81,clear sky,45.3573,-122.6068,Best Western Plus Rivershore Hotel
399,Tabou,CI,75.11,light rain,4.423,-7.3528,hotêl doufoulougou
401,Santa Isabel Do Rio Negro,BR,76.15,moderate rain,-0.4139,-65.0192,Hotel GSA
402,Sitges,ES,79.27,few clouds,41.2351,1.8119,URH Sitges Playa
404,Kralendijk,BQ,85.98,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
405,Bam,IR,80.65,clear sky,29.106,58.357,Bam Tourist Hotel
414,Bhatgaon,IN,75.11,clear sky,21.15,81.7,SINGH DHABA N RESTAURANT
418,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
419,Pangkalanbuun,ID,75.47,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
424,North Bend,US,87.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
425,Tautira,PF,77.41,few clouds,-17.7333,-149.15,Pension Oaoa
427,Acapulco,MX,79.54,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
429,Vanimo,PG,84.36,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
437,Russell,US,87.08,few clouds,32.3502,-85.1999,Macs
438,Maturin,VE,76.05,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
439,Talisayan,PH,78.71,broken clouds,6.9872,121.9272,Mar y Monte Resort
441,Thompson,CA,82.56,few clouds,55.7435,-97.8558,Burntwood Hotel
443,Dwarka,IN,80.74,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
446,Umm Lajj,SA,83.88,clear sky,25.0213,37.2685,Moon light Furnished Units
450,Jablah,SY,77.29,clear sky,35.3614,35.9256,هوتيل
455,Patti,IN,77.07,scattered clouds,31.2808,74.8572,Karanjit singh shutter rolling industry
464,Iwaki,JP,83.77,broken clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
470,Pundaguitan,PH,82.22,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
471,Amli,IN,76.78,overcast clouds,20.2833,73.0167,Hotel Soubhagya Inn
483,Tangwani,PK,82.96,clear sky,28.2787,68.9972,Malik Hafeez Markeet
484,Batticaloa,LK,77.83,light rain,7.7102,81.6924,Grand Star Guest House
485,Ako,JP,86.36,light rain,34.75,134.4,Toyoko-Inn Banshu Ako ekimae
486,Hasaki,JP,82.8,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
491,Sabha,LY,83.84,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
493,Wajima,JP,84.88,broken clouds,37.4,136.9,Wajiima Onsen Yashio
501,Gigmoto,PH,83.93,overcast clouds,13.7796,124.39,Cj's Travellers Inn
504,Springdale,US,81.55,clear sky,36.1867,-94.1288,Springdale Inn
505,Cockburn Town,TC,83.62,few clouds,21.4612,-71.1419,Osprey Beach Hotel
508,Ormara,PK,80.65,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
516,Madras,IN,84.18,mist,13.0878,80.2785,"Taj Connemara, Chennai"
518,Silver City,US,84.92,clear sky,32.7701,-108.2803,Copper Manor Motel
519,Fuling,CN,75.11,broken clouds,29.7022,107.3919,Yingbin Hostel
520,Bow Island,CA,81.61,few clouds,49.8668,-111.3684,Silver Sage Motel
525,Ipora,BR,79.54,overcast clouds,-16.4419,-51.1178,Oásis Motel
528,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
530,San Policarpo,PH,82.31,overcast clouds,12.1791,125.5072,Agapita M. Nicart
532,Portland,US,82.94,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
533,Camopi,GF,77.52,overcast clouds,3.1655,-52.3158,La pousada
534,Kousseri,CM,78.76,mist,12.0769,15.0306,Le Pilotis
535,Paciran,ID,79.16,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
537,Jalu,LY,82.13,clear sky,29.0331,21.5482,صاحبة الفخامة
542,Algiers,DZ,76.82,few clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
543,Popondetta,PG,88.61,clear sky,-8.7537,148.2534,Timos Transit House
544,Tripoli,LY,82.45,clear sky,32.8752,13.1875,Al Waddan Hotel
545,Cortez,US,77.31,broken clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
548,The Valley,AI,84.34,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
549,Makakilo City,US,85.57,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
550,Abu Dhabi,AE,89.71,clear sky,24.4667,54.3667,Beach Rotana
555,Puerto Escondido,MX,79.63,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
557,Jacksonville Beach,US,86.27,overcast clouds,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
562,Qingyuan,CN,82.38,overcast clouds,23.7,113.0333,Guojin Commercial Hotel
