City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sulat,PH,11.8103,125.4544,81.68,82,100,5.55,overcast clouds
80,Lagoa,PT,39.05,-27.9833,72.45,71,96,6.26,overcast clouds
81,Zvenyhorodka,UA,49.0787,30.9675,44.76,66,36,6.64,scattered clouds
82,Strezhevoy,RU,60.7333,77.5889,43.2,92,90,9.53,overcast clouds
83,Basco,PH,20.4487,121.9702,84.13,78,100,7.61,overcast clouds
84,Sitka,US,57.0531,-135.33,58.89,67,75,5.75,light rain
85,Provideniya,RU,64.3833,-173.3,48.36,100,100,8.99,overcast clouds
86,Nanortalik,GL,60.1432,-45.2371,44.02,94,100,4.88,overcast clouds
87,Bandarbeyla,SO,9.4942,50.8122,76.23,78,47,27.2,scattered clouds
88,Atuona,PF,-9.8,-139.0333,76.75,66,31,21.32,scattered clouds
89,Labuhan,ID,-6.8844,112.2051,78.82,79,58,5.73,broken clouds
90,Eregli,TR,37.5133,34.0467,67.96,50,20,1.7,few clouds
91,Kulhudhuffushi,MV,6.6221,73.07,79.2,81,100,26.71,overcast clouds
92,Meulaboh,ID,4.1363,96.1285,75.33,85,87,4.16,overcast clouds
93,East London,ZA,-33.0153,27.9116,58.95,54,0,16.22,clear sky
94,Arraial Do Cabo,BR,-22.9661,-42.0278,66.92,64,80,12.57,broken clouds
95,Morro Bay,US,35.3658,-120.8499,99.93,44,13,5.01,few clouds
96,Capoterra,IT,39.1763,8.9718,80.53,63,0,6.91,clear sky
97,Konstantinovsk,RU,47.5828,41.0922,54.84,49,62,6.17,broken clouds
98,Tezu,IN,27.9167,96.1667,73.51,98,100,2.39,light rain
99,Mednogorsk,RU,51.4128,57.595,45.79,86,87,5.95,overcast clouds
100,Outram,MY,1.2829,103.8379,78.73,90,40,3.44,scattered clouds
101,Kavieng,PG,-2.5744,150.7967,83.53,65,82,7.18,broken clouds
102,Am Timan,TD,11.0297,20.2827,71.11,93,87,1.74,overcast clouds
103,Padang,ID,-0.9492,100.3543,75.25,83,81,3.53,broken clouds
104,Kutum,SD,14.2,24.6667,75.92,60,38,6.17,scattered clouds
105,Kaspiyskiy,RU,45.3929,47.3707,59.7,49,92,8.59,overcast clouds
106,Vaini,TO,-21.2,-175.2,78.96,83,75,12.84,broken clouds
