City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ponta Do Sol,PT,2022-09-02 05:01:11,32.6667,-17.1,75.0,83,36,2.42
68,Hermanus,ZA,2022-09-02 05:01:11,-34.4187,19.2345,53.92,77,16,11.01
69,Traian,RO,2022-09-02 05:01:11,46.6333,27.0333,56.91,88,75,6.91
70,Bangassou,CF,2022-09-02 05:01:12,4.7413,22.8184,65.79,99,84,2.71
71,Verkhoyansk,RU,2022-09-02 05:01:12,67.5447,133.385,53.96,40,100,9.08
72,Tolosa,FR,2022-09-02 05:00:05,43.6043,1.4437,69.78,73,0,6.91
73,Santa Isabel Do Rio Negro,BR,2022-09-02 05:01:12,-0.4139,-65.0192,71.96,94,41,2.46
74,Atuona,PF,2022-09-02 05:01:13,-9.8,-139.0333,76.46,73,13,24.0
75,Ambon,ID,2022-09-02 05:01:13,-3.6954,128.1814,82.54,83,40,2.3
76,Touros,BR,2022-09-02 05:01:13,-5.1989,-35.4608,72.41,87,78,13.91
77,Maningrida,AU,2022-09-02 05:01:14,-12.0667,134.2667,89.74,48,12,11.7
78,Grindavik,IS,2022-09-02 05:01:14,63.8424,-22.4338,46.87,87,0,14.97
79,Dutlwe,BW,2022-09-02 05:01:15,-23.9833,23.9,48.79,38,0,12.88
80,Shiyan,CN,2022-09-02 05:00:24,32.6475,110.7781,79.7,52,50,7.27
81,Codrington,AU,2022-09-02 05:01:15,-38.2667,141.9667,51.94,62,75,12.46
82,Hilo,US,2022-09-02 04:57:29,19.7297,-155.09,77.29,89,44,1.99
83,Norman Wells,CA,2022-09-02 05:01:15,65.282,-126.8329,55.44,61,78,1.52
84,Mus,TR,2022-09-02 05:01:16,39.0,41.75,78.64,14,34,1.59
85,Mar Del Plata,AR,2022-09-02 05:00:32,-38.0023,-57.5575,48.09,84,79,17.0
86,Samarkand,UZ,2022-09-02 05:01:16,39.6542,66.9597,80.02,26,0,11.5
87,Voh,NC,2022-09-02 05:01:16,-20.9667,164.7,76.15,65,77,6.06
88,Ust-Omchug,RU,2022-09-02 05:01:17,61.15,149.6333,53.94,87,100,9.71
89,Nuuk,GL,2022-09-02 05:01:17,64.1835,-51.7216,57.81,77,75,8.05
90,Yazd,IR,2022-09-02 05:00:30,31.8972,54.3675,75.31,13,0,4.61
91,Waipawa,NZ,2022-09-02 05:02:17,-41.4122,175.5153,52.9,74,97,16.28
92,Chuy,UY,2022-09-02 05:02:18,-33.6971,-53.4616,55.13,98,100,5.12
93,Kissidougou,GN,2022-09-02 05:02:18,9.1848,-10.0999,66.94,98,99,3.04
94,Srednekolymsk,RU,2022-09-02 05:02:18,67.45,153.6833,63.93,41,100,12.46
95,Port Blair,IN,2022-09-02 05:00:03,11.6667,92.75,87.84,70,40,4.61
96,Saskylakh,RU,2022-09-02 05:02:19,71.9167,114.0833,41.63,72,100,21.83
97,Road Town,VG,2022-09-02 04:57:35,18.4167,-64.6167,82.45,74,4,17.02
98,Maniitsoq,GL,2022-09-02 05:02:19,65.4167,-52.9,47.98,89,100,20.36
99,Carnarvon,AU,2022-09-02 05:00:14,-24.8667,113.6333,68.43,75,100,24.79
100,Merke,KZ,2022-09-02 05:02:19,42.8728,73.1786,84.13,18,0,8.66
101,Tautira,PF,2022-09-02 05:02:20,-17.7333,-149.15,77.68,72,37,17.25
102,Grand-Santi,GF,2022-09-02 05:02:20,4.25,-54.3833,71.96,99,68,2.84
103,Dikson,RU,2022-09-02 05:02:20,73.5069,80.5464,40.42,78,100,15.7
104,Sakaiminato,JP,2022-09-02 05:02:21,35.55,133.2333,74.32,84,100,17.85
105,Orlik,RU,2022-09-02 05:02:21,52.5178,99.825,63.37,41,91,9.64
106,Erenhot,CN,2022-09-02 05:02:21,43.6475,111.9767,78.66,18,100,9.37
107,Mabaruma,GY,2022-09-02 05:02:22,8.2,-59.7833,72.97,98,42,2.51
108,Teacapan,MX,2022-09-02 05:02:22,22.55,-105.75,78.8,89,100,7.45
109,Homer,US,2022-09-02 05:02:22,59.6425,-151.5483,54.81,76,93,5.01
110,Severo-Kurilsk,RU,2022-09-02 05:02:22,50.6789,156.125,54.43,77,100,9.33
111,Yambio,SS,2022-09-02 05:02:23,4.5721,28.3955,67.03,98,97,3.33
112,Tessalit,ML,2022-09-02 05:02:23,20.1986,1.0114,84.25,45,11,11.14
113,Krasnopavlivka,UA,2022-09-02 05:02:23,49.1372,36.3272,58.23,46,40,8.46
114,Abu Dhabi,AE,2022-09-02 04:58:28,24.4667,54.3667,86.02,82,5,8.05
115,Betul,IN,2022-09-02 05:02:24,21.9153,77.8961,82.69,72,100,5.73
116,Biak,ID,2022-09-02 05:02:24,-0.9131,122.8766,82.8,69,23,7.83
117,Cabo Rojo,PR,2022-09-02 05:02:24,18.0866,-67.1457,78.94,87,4,6.69
118,Saint Anthony,US,2022-09-02 05:02:24,45.0205,-93.218,77.54,82,0,1.99
119,Castro,BR,2022-09-02 05:02:25,-24.7911,-50.0119,55.6,68,0,3.58
120,Conde,BR,2022-09-02 05:02:25,-7.2597,-34.9075,69.75,90,48,9.19
121,Lake Cowichan,CA,2022-09-02 05:02:25,48.825,-124.0546,65.28,80,3,1.77
122,Tigil,RU,2022-09-02 05:02:26,57.8,158.6667,64.38,70,90,2.46
123,Kibala,TD,2022-09-02 05:02:26,9.1104,18.3463,70.0,98,99,4.16
124,Qaanaaq,GL,2022-09-02 05:02:27,77.484,-69.3632,30.99,65,91,6.22
